id,status,action,en,hi,hinglish,themes,type,depth,intensity_safe_floor,emotions,concepts,related_verses,source,shown_count,engagement_rate,notes
6a3e9eed97c7fe5e4b8cee9d,approved,,"When this flares up, whose peace is it that most suffers?","जब यह क्रोध उठता है, सबसे पहले किसकी शांति भंग होती है?",Jab yeh gussa uthta hai — sabse pehle kiska sukoon toot-ta hai?,anger|restlessness,self_awareness,1,any,frustration,equanimity,,human_written,0,0.0,
6a3e9f0197c7fe5e4b8ceea3,draft,,"When anger rises in you, where in the body do you first notice its arrival — and what does it ask you to protect?","जब आपके भीतर क्रोध उठता है, तो शरीर में सबसे पहले कहाँ इसकी आहट मिलती है — और यह आपसे किसकी रक्षा की माँग करता है?","Jab aapke bheetar krodh uthta hai, to sharir mein sabse pehle kahan iski aahat milti hai — aur yeh aapse kiski raksha ki maang karta hai?",anger,self_awareness,1,any,anger|vulnerability,witness-self|attachment,,llm_generated,0,0.0,
6a3e9f0197c7fe5e4b8ceea4,draft,,"Behind this heat, is there a tenderness that has not yet found its words?","इस ताप के पीछे, क्या कोई कोमलता है जो अपने शब्दों को अभी तक नहीं पा सकी?","Iss taap ke peeche, kya koi komalta hai jo apne shabdon ko abhi tak nahin pa sakki?",anger,self_awareness,1,any,anger|hurt,restless mind|attachment,,llm_generated,0,0.0,
6a3e9f0297c7fe5e4b8ceea5,draft,,"If you could sit with this feeling without needing it to change, what might it reveal to you about what you hold dear?","यदि आप इस भाव के साथ बैठ सकें बिना इसे बदलने की आवश्यकता रखे, तो यह आपको आपके प्रिय किस चीज़ के बारे में क्या दिखा सकता है?","Agar aap is bhaav ke saath baitth sakein bina isse badalne ki avashyakta rakhe, toh yeh aapko aapke priya kis cheez ke baare mein kya dikha sakta hai?",anger,self_awareness,1,any,anger|longing,equanimity|desire/aversion,,llm_generated,0,0.0,
6a3e9f1697c7fe5e4b8ceea6,draft,,"When anger rises, whose wound within you does it believe it must defend?","जब क्रोध उठता है, तो आपके भीतर किस घाव की रक्षा वह करने को सोचता है?","Jab krodh uthta hai, toh aapke bheetar kis ghaav ki raksha wah karne ko sochta hai?",anger,self_awareness,2,mild,anger|vulnerability|defensiveness,attachment|witness-self,,llm_generated,0,0.0,
6a3e9f1797c7fe5e4b8ceea7,draft,,What are you clinging to so tightly that this moment's frustration feels like attack upon your very being?,आप किस चीज़ को इतनी कसकर पकड़े हुए हैं कि इस पल की निराशा आपके सत्त्व पर हमला लगने लगती है?,Aap kis cheez ko itni kas kar pakde hue hain ki is pal ki nirasha aapke sattva par hamla lagne lagti hai?,anger,self_awareness,2,mild,frustration|possessiveness|indignation,attachment|desire/aversion,,llm_generated,0,0.0,
6a3e9f1797c7fe5e4b8ceea8,draft,,"In the heat of this feeling, have you mistaken a passing cloud for the sky itself?","इस भावन की ताप में, क्या आपने एक बिछड़ती हुई बादल को आकाश ही समझ लिया है?","Is bhaav ki taap mein, kya aapne ek bichhadtui badal ko aakaash hi samajh liya hai?",anger,self_awareness,2,mild,anger|confusion|overwhelm,restless mind|witness-self,,llm_generated,0,0.0,
6a3e9f1897c7fe5e4b8ceea9,draft,,What truth do you imagine your anger speaks that your quieter voice cannot?,"आप क्या सच समझते हैं जो आपके क्रोध में बोलता है, जो आपके शान्त स्वर में नहीं?","Aap kya sach samajhte hain jo aapke krodh mein bolta hai, jo aapke shaant swar mein nahin?",anger,self_awareness,2,mild,anger|self-righteousness|doubt,restless mind|equanimity,,llm_generated,0,0.0,
6a3e9f4297c7fe5e4b8ceeaa,draft,,"When anger rises, who within you is watching it — and does that witness ever leave, even for a moment?","जब क्रोध उठता है, आपके भीतर कौन इसे देख रहा है — और क्या वह साक्षी कभी एक क्षण के लिए भी जाता है?","Jab krodh uthta hai, aapke bheetar kaun ise dekh raha hai — aur kya vah sakshi kabhi ek kshan ke liye bhi jaata hai?",anger,self_awareness,3,moderate,anger|separation|witnessing,sakshi (witness-self)|equanimity,,llm_generated,0,0.0,
6a3e9f4297c7fe5e4b8ceeab,draft,,"What are you protecting when anger arrives — a self you have examined, or one you have never questioned?","जब क्रोध आता है, आप किसे बचा रहे हैं — उस स्व को, जिसे आपने जाँचा है, या उसे जिसे आपने कभी संशय में नहीं लिया?","Jab krodh aata hai, aap kise bacha rahe hain — us swa ko, jise aapne jaancha hai, ya use jise aapne kabhi sanshay mein nahi liya?",anger,self_awareness,3,moderate,anger|vulnerability|identity confusion,self-inquiry|ahamkara (ego-identity)|attachment,,llm_generated,0,0.0,
